,ht,wt,year,religon,gender,marriage
0,167,68,1974,No,F,N
1,162,49,1974,C2,F,N
2,158,50,1978,C2,F,N
3,165,56,1977,No,F,N
4,160,52,1959,No,F,N
5,162,52,1972,No,F,Y
6,162,50,1970,No,F,N
7,167,61,1967,C2,F,Y
8,156,44,1969,C1,F,Y
9,157,55,1979,No,F,N
10,158,54,1974,No,F,N
11,155,47,1980,C2,F,N
12,160,53,1978,C2,F,N
13,153,45,1976,C2,F,N
14,162,47,1979,No,F,N
15,163,54,1973,No,F,N
16,165,52,1975,No,F,N
17,162,42,1973,C1,F,N
18,162,51,1966,C2,F,N
19,172,72,1974,No,M,N
20,158,54,1975,No,F,N
21,153,56,1976,C1,F,N
22,156,47,1971,Bu,F,N
23,168,52,1972,Bu,M,N
24,168,67,1977,No,F,N
25,158,60,1958,C2,F,Y
26,160,50,1974,C1,F,N
27,162,54,1974,C1,F,Y
28,162,47,1972,C1,F,N
29,164,50,1976,C1,F,N
30,173,56,1977,C2,F,N
31,161,46,1968,C1,F,N
32,165,59,1975,No,F,N
33,160,47,1974,C1,F,Y
34,164,60,1974,C1,F,N
35,167,52,1975,No,F,N
36,162,50,1972,C2,F,Y
37,164,52,1978,C2,F,N
38,161,51,1976,Bu,F,N
39,170,70,1971,No,M,N
40,168,52,1976,No,F,N
41,163,53,1976,C1,F,N
42,158,46,1972,Bu,F,N
43,160,48,1970,No,F,N
44,158,48,1973,C1,F,N
45,163,57,1970,No,F,Y
46,160,49,1972,C1,F,Y
47,158,42,1970,No,F,N
48,158,46,1963,No,F,Y
49,168,57,1971,Bu,F,N
50,155,51,1976,C1,F,N
51,160,50,1964,C2,F,Y
52,163,64,1955,C2,F,Y
53,157,54,1974,C1,F,N
54,160,48,1973,C1,F,N
55,165,46,1978,C1,F,N
56,167,55,1978,C1,F,N
57,162,50,1974,Bu,F,N
58,159,53,1978,C1,F,N
59,157,45,1974,C1,F,N
60,160,51,1975,C2,F,N
61,162,55,1977,No,F,N
62,158,47,1976,C2,F,N
63,155,43,1973,No,F,N
64,153,53,1975,No,F,N
65,160,55,1975,No,F,Y
66,160,52,1976,Bu,F,N
67,160,48,1977,No,F,N
68,163,55,1978,No,F,N
69,158,55,1975,C1,F,N
70,158,48,1975,C1,F,N
71,162,50,1973,C1,F,N
72,163,57,1979,C1,F,N
73,165,50,1976,No,F,N
74,169,60,1975,No,F,N
75,155,50,1978,No,F,N
76,155,48,1974,No,F,N
77,160,42,1972,Bu,F,N
78,156,48,1976,C2,F,N
79,176,73,1954,Bu,M,Y
